"date","year","month","mean_pet","min_pet","max_pet","std_dev"
"1984-05",1984,5,0.166867251715583,0,0.458308689393044,0.119393966383264
"1984-06",1984,6,0.23292287270205,0,0.572188178709021,0.147995247335702
"1984-07",1984,7,0.516469218813509,0.0396735543723606,0.975471672984709,0.214873694850289
"1984-08",1984,8,0.419215909363184,0.0874588502953565,0.84360617053208,0.175213525475834
"1984-09",1984,9,0.231476794891339,0.121317090545756,0.369361789596143,0.052983824029529
"1984-10",1984,10,0.176975532411643,0.117995583560658,0.296828937031982,0.0294733019269115
"1984-11",1984,11,0.128524351829057,0.0606658031397407,0.215933522501062,0.0320239373455755
"1984-12",1984,12,0.0974320886904399,0.0578933893083714,0.170147900681045,0.0176701287680595
"1985-01",1985,1,0,0,0,0
"1985-02",1985,2,0.0889521046482245,0.0260806108047512,0.194513443714925,0.0346654678266952
"1985-03",1985,3,0.0274899293619517,0,0.166031121735199,0.0382978296540531
"1985-04",1985,4,0.205213459225075,0.0399509558449358,0.45376898593179,0.0890350736708307
"1985-05",1985,5,0.157367103474803,0,0.452968082792145,0.116859589365297
"1985-06",1985,6,0.411959901956175,0.0599423510645892,0.908526841837117,0.210486182427411
"1985-07",1985,7,0.494650525180474,0,1.02399886762972,0.230524552954318
"1985-08",1985,8,0.567302718166188,0.190546840233843,0.954195235125328,0.168455391892331
"1985-09",1985,9,0.319316189974963,0.0769843696045752,0.523029201554422,0.0916150658238625
"1985-10",1985,10,0.282180685398038,0.171483101172433,0.472187742047148,0.0716930542342667
"1985-11",1985,11,0.186708476876905,0.138711450377586,0.238098243002352,0.0204018747511975
"1985-12",1985,12,0.000153391728697105,0,0.0287442988469156,0.00160368359523516
"1986-01",1986,1,0.0140361210740772,0,0.190684448752842,0.0328403789621155
"1986-02",1986,2,0.101433314503995,0.0460041820252027,0.200090551826882,0.0238653700902
"1986-03",1986,3,0.00333460468514341,0,0.111145426449159,0.0142291507230517
"1986-04",1986,4,0.152883601714,0.0584061062748535,0.28817937141383,0.0510985769717327
"1986-05",1986,5,0.0902511228546364,0,0.295705870133805,0.0794673922783898
"1986-06",1986,6,0.178592516627744,0,0.441050593572969,0.10529783505945
"1986-07",1986,7,0.379836624871766,0.0574417613899385,0.821006370741036,0.191485287037952
"1986-08",1986,8,0.587697190374983,0.0506886332722741,0.975737395718128,0.183474867815957
"1986-09",1986,9,0.299291436211447,0.149967304449862,0.531681053054459,0.0954346957798591
"1986-10",1986,10,0.175105887604787,0.0464489787703232,0.462734395803756,0.0824681124580161
"1986-11",1986,11,0.223248756836808,0.157527511098214,0.365604729546922,0.0433526821393747
"1986-12",1986,12,0.051729211583455,0,0.165852677165635,0.0384956086444199
"1987-01",1987,1,0.0196490788900018,0,0.18692456324171,0.0330078105244274
"1987-02",1987,2,0.0100039406715859,0,0.170357043105555,0.0270972005069718
"1987-03",1987,3,0.0362247116512983,0,0.152486087141261,0.0373065695131715
"1987-04",1987,4,0.16806693092455,0,0.505662407479497,0.121735046819575
"1987-05",1987,5,0.24193065595215,0.00175678739452786,0.533344747471024,0.122516917260662
"1987-06",1987,6,0.40687114598688,0,0.977384486542715,0.231182402421374
"1987-07",1987,7,0.271478403266441,0,0.696706135076686,0.193053127885222
"1987-08",1987,8,0.377568760512134,0.0999560084414279,0.668005512129268,0.123571196363878
"1987-09",1987,9,0.413096751477466,0.0983477069769811,0.736170120165842,0.148525724016186
"1987-10",1987,10,0.343713644588801,0.120990657123529,0.675222103541748,0.117061052837758
"1987-11",1987,11,0.141706451744956,0.0553682020083734,0.342838499762125,0.0579129807871087
"1987-12",1987,12,0.127265972412202,0.0501614120100946,0.342752844809792,0.054612806614681
"1988-01",1988,1,0.0815391642671565,0.0206189835590924,0.199260216807207,0.0325595127737797
"1988-02",1988,2,0.00409980244839985,0,0.0777473975292057,0.01214811179344
"1988-03",1988,3,0.0246331265076188,0,0.16373369522621,0.0402626343719728
"1988-04",1988,4,0.052922604077097,0,0.196701046116967,0.057495690685594
"1988-05",1988,5,0.151881919860313,0,0.387950376219642,0.108851467106948
"1988-06",1988,6,0.252800960299043,0.000482028174238628,0.536703707193568,0.12517489615246
"1988-07",1988,7,0.488687131838685,0.0683062656353721,0.941931413969057,0.194263990563827
"1988-08",1988,8,0.392356420184875,0.026828478687188,0.771110711418792,0.165019753224555
"1988-09",1988,9,0.422413647474726,0.147528256388264,0.652624219007596,0.0991273426543221
"1988-10",1988,10,0.225798147485625,0.0756402055542202,0.448724505742821,0.077385811858875
"1988-11",1988,11,0.195259896430739,0.102984923849301,0.438989221810029,0.0742893928091998
"1988-12",1988,12,0.0905128002507101,0.0149378985350761,0.20710502087598,0.0297800659740892
"1989-01",1989,1,0.0807292654518422,0,0.226150548866682,0.04875573690249
"1989-02",1989,2,0.110640461304211,0.0168178827417534,0.259778399357169,0.0341921027908405
"1989-03",1989,3,0.000345462027170099,0,0.0276577700045868,0.00214767498863932
"1989-04",1989,4,0,0,0,0
"1989-05",1989,5,0.236120101220352,0,0.59186962116105,0.140325846218762
"1989-06",1989,6,0.28945612201161,0,0.703813884667213,0.169326977529799
"1989-07",1989,7,0.229289609651814,0.0721348165855847,0.459669771880233,0.0900420768189978
"1989-08",1989,8,0.251154834636741,0.017245136622641,0.525968153594917,0.128941013402042
