"Date","Year","Month","Basin_Mean","Basin_Median","Basin_Min","Basin_Max","Basin_SD","Valid_Pixels","Total_Pixels","Coverage_Pct","Date_formatted"
"1996-08",1996,8,-0.623,-0.822,-1.496,1.456,0.727,863,863,100,1996-08-01
"1996-09",1996,9,-0.554,-0.709,-1.38,1.239,0.584,863,863,100,1996-09-01
"1996-10",1996,10,-0.576,-0.695,-1.743,1.54,0.747,863,863,100,1996-10-01
"1996-11",1996,11,-0.65,-0.918,-2.03,2.005,1.014,863,863,100,1996-11-01
"1996-12",1996,12,-0.489,-0.676,-1.773,1.761,0.919,863,863,100,1996-12-01
"1997-01",1997,1,-0.574,-0.787,-2.008,1.902,1.063,863,863,100,1997-01-01
"1997-02",1997,2,-0.529,-0.691,-1.803,1.762,0.947,863,863,100,1997-02-01
"1997-03",1997,3,-0.858,-1.195,-2.124,2.14,1.198,863,863,100,1997-03-01
"1997-04",1997,4,-0.771,-1.085,-1.868,1.853,1.04,863,863,100,1997-04-01
"1997-05",1997,5,-0.545,-0.683,-1.845,1.701,0.867,863,863,100,1997-05-01
"1997-06",1997,6,-0.577,-0.849,-1.582,1.429,0.779,863,863,100,1997-06-01
"1997-07",1997,7,-0.371,-0.472,-1.069,1.095,0.511,863,863,100,1997-07-01
"1997-08",1997,8,-0.139,-0.119,-0.935,0.93,0.365,863,863,100,1997-08-01
"1997-09",1997,9,-0.174,-0.153,-0.793,0.554,0.304,863,863,100,1997-09-01
"1997-10",1997,10,-0.26,-0.308,-1.147,0.973,0.481,863,863,100,1997-10-01
"1997-11",1997,11,0.174,0.139,-0.64,0.803,0.348,863,863,100,1997-11-01
"1997-12",1997,12,-0.14,-0.164,-1.029,0.876,0.459,863,863,100,1997-12-01
"1998-01",1998,1,0.133,0.071,-1.139,1.298,0.468,863,863,100,1998-01-01
"1998-02",1998,2,0.418,0.365,-1.548,1.722,0.598,863,863,100,1998-02-01
"1998-03",1998,3,0.529,0.662,-1.451,1.389,0.6,863,863,100,1998-03-01
"1998-04",1998,4,0.557,0.785,-1.676,1.653,0.786,863,863,100,1998-04-01
"1998-05",1998,5,0.685,1.039,-1.856,1.836,1.018,863,863,100,1998-05-01
"1998-06",1998,6,0.527,0.745,-1.373,1.523,0.796,863,863,100,1998-06-01
"1998-07",1998,7,0.396,0.561,-1.316,1.311,0.706,863,863,100,1998-07-01
"1998-08",1998,8,0.394,0.601,-1.327,1.414,0.692,863,863,100,1998-08-01
"1998-09",1998,9,0.73,1.066,-1.807,1.827,1.037,863,863,100,1998-09-01
"1998-10",1998,10,0.128,0.126,-0.891,0.878,0.36,863,863,100,1998-10-01
"1998-11",1998,11,0.359,0.459,-1.538,1.454,0.566,863,863,100,1998-11-01
"1998-12",1998,12,-0.043,-0.093,-0.944,0.801,0.237,863,863,100,1998-12-01
"1999-01",1999,1,-0.117,-0.126,-1.041,0.864,0.29,863,863,100,1999-01-01
