"date","year","month","mean_precip","min_precip","max_precip","std_dev"
1973-02-01,1973,2,47.7277967758578,15.7305654138327,235.515497624874,31.5611589817136
1973-03-01,1973,3,53.3522235040502,24.1743377409875,288.113927468657,36.3124513548134
1973-04-01,1973,4,40.7586904765187,14.0122370794415,233.024884946644,29.4799504316698
1973-05-01,1973,5,55.8107943459502,24.9488023109734,241.869789082557,26.0754226687396
1973-06-01,1973,6,85.790576253927,51.8855242989957,242.368178442121,21.8486729485946
1973-07-01,1973,7,42.4494681399467,18.7793727964163,162.364324554801,16.1475032532089
1973-08-01,1973,8,46.9058845308083,29.2460990604013,98.1045884545892,10.7984764440932
1973-09-01,1973,9,113.000892042404,50.6853335537016,441.953698173165,53.5514290344938
1973-10-01,1973,10,106.839168895161,54.0537077467889,581.069117411971,78.1240104627521
1973-11-01,1973,11,59.1281704747906,37.9718234762549,227.10086312145,24.4958424206248
1973-12-01,1973,12,94.8224558418077,38.6603618972003,443.614345043898,57.2558936643027
1974-01-01,1974,1,108.012115315622,61.3649275619537,501.933475956321,63.592701865198
1974-02-01,1974,2,73.0348395950654,32.7119417488575,429.026294499636,53.7155839584722
1974-03-01,1974,3,72.9772024064976,35.7958606909961,283.554301597178,31.4617380611802
1974-04-01,1974,4,51.459993501257,20.5345451831818,293.156057596207,34.1637272475484
1974-05-01,1974,5,79.3216997647987,43.7025520950556,295.078190043569,30.1239248669652
1974-06-01,1974,6,45.8622912242081,22.01525028795,246.874652802944,23.7313290802401
1974-07-01,1974,7,76.9575701477859,39.5867384504527,160.340958274901,21.9232583109278
1974-08-01,1974,8,26.3220268244775,9.4539315905422,80.5213989224285,13.3383958677639
1974-09-01,1974,9,59.5336134347441,24.7732177376747,167.451538145542,26.0778890421681
1974-10-01,1974,10,123.612124554242,49.1615601349622,594.678848981857,86.3781827215207
1974-11-01,1974,11,55.7732597947947,24.8600402846932,321.590378880501,36.0776045048776
1974-12-01,1974,12,125.079912586139,40.8193280454725,790.93062505126,113.910490069664
1975-01-01,1975,1,83.5049196006309,33.5867023095489,494.358591735363,69.0282905949283
1975-02-01,1975,2,51.8051495178228,16.8397324159741,299.28508028388,44.6129944067342
1975-03-01,1975,3,41.3991965572624,23.5581006854773,186.94001249969,20.7569157566148
