Date,Parameter,Discharge_cms,Symbol
1978-02-09,Flow,0.333999991416931,B
1978-02-10,Flow,0.333999991416931,B
1978-02-11,Flow,0.333999991416931,B
1978-02-12,Flow,0.331000000238419,B
1978-02-13,Flow,0.331000000238419,B
1978-02-14,Flow,0.328000009059906,B
1978-02-15,Flow,0.328000009059906,B
1978-02-16,Flow,0.328000009059906,B
1978-02-17,Flow,0.32600000500679,B
1978-02-18,Flow,0.32600000500679,B
1978-02-19,Flow,0.323000013828278,B
1978-02-20,Flow,0.323000013828278,B
1978-02-21,Flow,0.395999997854233,B
1978-02-22,Flow,0.680000007152557,B
1978-02-23,Flow,0.623000025749207,B
1978-02-24,Flow,0.597000002861023,B
1978-02-25,Flow,0.572000026702881,B
1978-02-26,Flow,0.555000007152557,B
1978-02-27,Flow,0.532000005245209,B
1978-02-28,Flow,0.514999985694885,B
1978-03-01,Flow,0.497999995946884,B
1978-03-02,Flow,0.481000006198883,B
1978-03-03,Flow,0.467000007629394,B
1978-03-04,Flow,0.453000009059906,B
1978-03-05,Flow,0.439000010490417,B
1978-03-06,Flow,0.428000003099442,B
1978-03-07,Flow,0.416000008583069,B
1978-03-08,Flow,0.407999992370606,B
1978-03-09,Flow,0.398999989032745,B
1978-03-10,Flow,0.391000002622604,B
1978-03-11,Flow,0.381999999284744,B
1978-03-12,Flow,0.374000012874603,B
1978-03-13,Flow,0.365000009536743,B
1978-03-14,Flow,0.35699999332428,B
1978-03-15,Flow,0.351000010967255,B
1978-03-16,Flow,0.342999994754791,B
1978-03-17,Flow,0.337000012397766,B
1978-03-18,Flow,0.331000000238419,B
1978-03-19,Flow,0.32600000500679,B
1978-03-20,Flow,0.319999992847443,B
1978-03-21,Flow,0.314000010490417,B
1978-03-22,Flow,0.308999985456467,B
1978-03-23,Flow,0.303000003099442,B
1978-03-24,Flow,0.296999990940094,B
1978-03-25,Flow,0.293999999761581,B
1978-03-26,Flow,0.291999995708466,B
1978-03-27,Flow,0.289000004529953,B
1978-03-28,Flow,0.28600001335144,B
1978-03-29,Flow,0.282999992370605,B
1978-03-30,Flow,0.280000001192093,B
1978-03-31,Flow,0.277999997138977,B
1978-04-01,Flow,0.275000005960464,B
1978-04-02,Flow,0.272000014781952,B
1978-04-03,Flow,0.268999993801117,B
1978-04-04,Flow,0.266000002622604,B
1978-04-05,Flow,0.263000011444092,B
1978-04-06,Flow,0.263000011444092,B
1978-04-07,Flow,0.261000007390976,B
1978-04-08,Flow,0.261000007390976,B
1978-04-09,Flow,0.261000007390976,B
1978-04-10,Flow,0.257999986410141,B
1978-04-11,Flow,0.257999986410141,B
1978-04-12,Flow,0.257999986410141,B
1978-04-13,Flow,0.254999995231628,B
1978-04-14,Flow,0.254999995231628,B
1978-04-15,Flow,0.254999995231628,B
1978-04-16,Flow,0.261000007390976,B
1978-04-17,Flow,0.266000002622604,B
1978-04-18,Flow,0.272000014781952,B
1978-04-19,Flow,0.277999997138977,B
1978-04-20,Flow,0.282999992370605,B
1978-04-21,Flow,0.310999989509583,B
1978-04-22,Flow,0.340000003576279,B
1978-04-23,Flow,0.368000000715256,B
1978-04-24,Flow,0.395999997854233,B
1978-04-25,Flow,0.425000011920929,B
1978-04-26,Flow,0.476000010967255,B
1978-04-27,Flow,0.537999987602234,B
1978-04-28,Flow,0.616999983787537,B
1978-04-29,Flow,0.708000004291534,B
1978-04-30,Flow,0.792999982833862,B
1978-05-01,Flow,0.934000015258789,B
1978-05-02,Flow,1.10000002384186,B
1978-05-03,Flow,1.44000005722046,B
1978-05-04,Flow,1.70000004768372,B
1978-05-05,Flow,2.03999996185303,B
1978-05-06,Flow,2.54999995231628,B
1978-05-07,Flow,3.14000010490417,NA
1978-05-08,Flow,3.88000011444092,NA
1978-05-09,Flow,4.67000007629395,NA
1978-05-10,Flow,4.73000001907349,NA
1978-05-11,Flow,4.78999996185303,NA
1978-05-12,Flow,4.92999982833862,NA
1978-05-13,Flow,4.46999979019165,NA
1978-05-14,Flow,4.73000001907349,NA
1978-05-15,Flow,5.92000007629395,NA
1978-05-16,Flow,7.07999992370605,NA
1978-05-17,Flow,6.84999990463257,NA
1978-05-18,Flow,7.1399998664856,NA
1978-05-19,Flow,8.85999965667725,NA
1978-05-20,Flow,11.8999996185303,NA
